,1,2,3,4
KIT_41C_MG2_E8,0,0,0,0
KIT_65C_MG2_E9,0,0,0,0
KIT_53C_MG2_E10,0,0,0,0
KIT_13C_MG2_E11,0,0,0,0.931102455
KIT_999C_MG2_E12,0,0,0,0
KIT_69F_MG2_D1,0,0,0,0.928571463
KIT_20F_MG2_D2,0,0,0,0
KIT_17F_MG2_D3,0,0.28125,0,0
KIT_12F_MG2_D4,0,0,0,0
KIT_250F_MG2_D5,0,0.139718905,0,0.814404964
KIT_240F_MG2_D6,0,0,0,0
KIT_72F_MG2_D8,0,0,0,0
KIT_65F_MG2_D9,0,0,0,0.578674614
KIT_100F_MG2_D10,0,0,0,0
KIT_54F_MG2_D11,0,0,0,0
KIT_998F_MG2_D12,0,0,0,0
KIT_69N_MG2_C1,0,0,0,0
KIT_20N_MG2_C2,0,0,0,0
KIT_17N_MG2_C3,0,0,0,0
KIT_12N_MG2_C4,0,0,0.226939082,0.301727116
KIT_250N_MG2_C5,0,0.478878886,0,0.460419387
KIT_240N_MG2_C6,0,0,0,0
KIT_72N_MG2_C8,0,0.417812705,0,0.640345097
KIT_65N_MG2_C9,0,0,0,0
KIT_100N_MG2_C10,0,0,0,0
KIT_54N_MG2_C11,0,0,0,0
KIT_998N_MG2_C12,0,0.287891835,0,0
KIT_69K_MG2_B1,0,0.348837227,0,0
KIT_20K_MG2_B2,0,0,0,0
KIT_17K_MG2_B3,0,0,0,0
KIT_12K_MG2_B4,0,0,0,0
KIT_250K_MG2_B5,0,0.147435039,0,0
KIT_240K_MG2_B6,0,0,0,0
KIT_228K_MG2_B7,0,0.364565939,0.005986341,0.625190854
KIT_72K_MG2_B8,0,0.380401045,0,0.59836179
KIT_65K_MG2_B9,0,0.775652468,0,0
KIT_100K_MG2_B10,0,0.259259254,0,0
KIT_54K_MG2_B11,0,0,0,0.736842096
KIT_998K_MG2_B12,0,0,0,0
KIT_69C_MG2_A1,0,0,0,0.529411733
KIT_20C_MG2_A2,0,0,0.478815079,0.552093506
KIT_17C_MG2_A3,0,0,0,0
KIT_12C_MG2_A4,0,0,0.039346255,0.92620486
KIT_250C_MG2_A5,0,0.070939198,0,0.896748006
KIT_240C_MG2_A6,0,0.40625,0,0
KIT_228C_MG2_A7,0,0.716436267,0,0.283654571
KIT_72C_MG2_A8,0,0.175528601,0,0.850004673
KIT_65C_MG2_A9,0,0.5,0,0
KIT_100C_MG2_A10,0,0,0,0
KIT_54C_MG2_A11,0,0,0,0
KIT_998C_MG2_A12,0,0,0,0
KIT_246F_MG3_H1,0,0,0,0
KIT_247F_MG3_H2,0,0.153505608,0.293350041,0.389319122
KIT_254F_MG3_H3,0,0,0.26733911,0
KIT_75F_MG3_H4,0,0,0,0.93311733
KIT_233F_MG3_H5,0,0,0,0
KIT_218F_MG3_H6,0,0,0,0.925579548
KIT_24K_MG3_H7,0,0,0,0
KIT_248F_MG3_H8,0,0,0,0.813184261
KIT_BLANK_MG3_H12,0,0,0,0
KIT_246N_MG3_G1,0,0,0,0
KIT_247N_MG3_G2,0.202533618,0.528659284,0,0.376416236
KIT_254N_MG3_G3,0,0,0.366230637,0
KIT_75N_MG3_G4,0,0,0.135256797,0.83165133
KIT_233N_MG3_G5,0,0,0,1
KIT_218N_MG3_G6,0,0,0,0
KIT_24C_MG3_G7,0,0,0,0
KIT_248N_MG3_G8,0,0.14875935,0,0.844932258
KIT_BLANK_MG3_G12,0,0,0,0
KIT_246K_MG3_F1,0,0,0,0.936936259
KIT_247K_MG3_F2,0.101259135,0.120520569,0.400983363,0.352806896
KIT_254K_MG3_F3,0,0,0.277926743,0.627500236
KIT_75K_MG3_F4,0,0,0,0.919755161
KIT_233K_MG3_F5,0,0,0,0
KIT_218K_MG3_F6,0,0,0.100038558,0.735554516
KIT_30K_MG3_F7,0,0,0,0.053990468
KIT_228K_MG3_F8,0,0.225191846,0,0.730122864
KIT_246C_MG3_E1,0,0.649999976,0,0
KIT_247C_MG3_E2,0.052272148,0.62481612,0.019015405,0.272634983
KIT_254C_MG3_E3,0.055408575,0,0.05179622,0.9120965
KIT_75C_MG3_E4,0,0,0,0.991321921
KIT_233C_MG3_E5,0,0,0,0.995343506
KIT_218C_MG3_E6,0,0.090897448,0.211552709,0.757812679
KIT_30C_MG3_E7,0,0.792114079,0,0.191546276
KIT_228C_MG3_E8,0,0.468623072,0.005577451,0.505584776
KIT_BLANK_MG3_E9,0,0,0,0
KIT_213F_MG3_D1,0,0.339437127,0.405332208,0.379874468
KIT_88F_MG3_D2,0,0,0,0.949149489
KIT_79F_MG3_D3,0,0,0,0
KIT_BLANK_D4_MG3_D4,0,0,0,0
KIT_237F_MG3_D5,0,0,0,0.660388291
KIT_76F_MG3_D6,0,0,0,0
KIT_30F_MG3_D7,0,0,0,0
KIT_213N_MG3_C1,0,0.347624183,0.388719052,0.329546034
KIT_88N_MG3_C2,0,0,0,0.990967035
KIT_79N_MG3_C3,0,0,0,0
KIT_BLANK_C4_MG3_C4,0,0,0,0
KIT_237N_MG3_C5,0,0,0,0.981998801
KIT_76N_MG3_C6,0,0,0,0
KIT_30N_MG3_C7,0,1.006659746,0,0
KIT_213K_MG3_B1,0,0.311755925,0.228031978,0.514699042
KIT_88K_MG3_B2,0,0,0,0.987099111
KIT_79K_MG3_B3,0,1.080159068,0,0
KIT_BLANK_B4_MG3_B4,0,0,0,0
KIT_237K_MG3_B5,0,0,0,0.953129828
KIT_76K_MG3_B6,0,0,0,0
KIT_248K_MG3_B7,0,0.170236915,0,0.796322465
KIT_213C_MG3_A1,0.05272292,0.2817761,0,0.633136094
KIT_88C_MG3_A2,0,0,0,0.998771608
KIT_79C_MG3_A3,0,0,0,0
KIT_BLANK_A4_MG3_A4,0,0,0,0
KIT_237C_MG3_A5,0,0,0,0
KIT_76C_MG3_A6,0.060319938,0.017985277,0,0.925839841
KIT_248C_MG3_A7,0,0.448522449,0,0.527533531
KIT_BLANK_MG3_A8,0,0,0,0
KIT_303K_MG4_A1,0,0,0,0
KIT_303N_MG4_B1,0,0,0,0
KIT_303F_MG4_C1,0,0,0,0
KIT_221A_MG4_D1,0,0,0,0
KIT_221C_MG4_E1,0.165710717,0.382600695,0,0.568037629
KIT_221K_MG4_F1,0,0,0,0
KIT_221N_MG4_G1,0,0,0,0
KIT_221F_MG4_H1,0,0,0,0
KIT_21N_MG4_A2,0,0,0,0
KIT_21F_MG4_B2,0,0.024432348,0,0
KIT_69C_MG4_C2,0,0,0,0
KIT_69K_MG4_D2,0,0,0,0
KIT_69N_MG4_E2,0,0,0,0
KIT_69F_MG4_F2,0,0,0,0
KIT_303A_MG4_G2,0,0.022743287,0,0
KIT_303C_MG4_H2,0,0,0,0
KIT_53C_MG4_A3,0,0,0,0
KIT_53K_MG4_B3,0,0,0,0
KIT_53N_MG4_C3,0,0,0,0
KIT_53F_MG4_D3,0,0.006298824,0,0
KIT_72C_MG4_E3,0,0,0,0.959694028
KIT_72K_MG4_F3,0,0,0,0
KIT_72N_MG4_G3,0,0,0,0.840073884
KIT_72F_MG4_H3,0,0,0,0
KIT_79C_MG4_A4,0,0,0,0
KIT_79K_MG4_B4,0,0,0,0
KIT_79N_MG4_C4,0,0,0,0
KIT_79F_MG4_D4,0,0,0,0.026430981
KIT_240C_MG4_E4,0,0,0.011512703,0
KIT_240K_MG4_F4,0,0,0,0.75
KIT_240N_MG4_G4,0,0.021273775,0,0
KIT_240F_MG4_H4,0,0,0.017900772,0
KIT_246C_MG4_A5,0,0,0,0
KIT_246K_MG4_B5,0,0,0,0
KIT_246N_MG4_C5,0,0,0,0
KIT_246F_MG4_D5,0,0.010612002,0,0
KIT_93C_MG4_E5,0,0.95430088,0,0
KIT_93K_MG4_F5,0,0,0,0
KIT_93N_MG4_G5,0,0.849507451,0,0
KIT_93F_MG4_H5,0,0,0,0
KIT_61C_MG4_A6,0,0,0,0
KIT_61K_MG4_B6,0,0.375,0,0.666666687
KIT_61N_MG4_C6,0,0,0,0
KIT_61F_MG4_D6,0,0,0,0
KIT_3C_MG4_E6,0,0,0,0
KIT_3K_MG4_F6,0,0.016509874,0,0
KIT_3N_MG4_G6,0,0.055357698,0,0.555555522
KIT_3F_MG4_H6,0,0.02215061,0,0
KIT_45C_MG4_A7,0,0,0,0
KIT_45K_MG4_B7,0,0,0,0
KIT_45N_MG4_C7,0,0,0,0
KIT_45F_MG4_D7,0,0,0,0
KIT_244C_MG4_E7,0,0,0,0
KIT_244K_MG4_F7,0,0.983816683,0,0
KIT_244N_MG4_G7,0,0,0,0
KIT_244F_MG4_H7,0,0,0,0
KIT_65C_MG4_A8,0,0,0,0
KIT_96K_MG4_B8,0,0,0.4581047,0.65916574
KIT_96N_MG4_C8,0,0,0.608861446,0.557081878
KIT_96F_MG4_D8,0,0,0.621685624,0
KIT_90C_MG4_E8,0,0.006377894,0,0
KIT_90K_MG4_F8,0,0,0,0
KIT_90N_MG4_G8,0,0,0,0
KIT_90F_MG4_H8,0,0.013125344,0,0
KIT_C2C2_MG4_A9,0,0,0,0
KIT_83C_MG4_B9,0,0,0.379082918,0.612292051
KIT_83K_MG4_C9,0,0,0,0
KIT_83N_MG4_D9,0,0,0.391440809,0.273171365
KIT_83F_MG4_E9,0,0,0,0
KIT_65C_MG4_F9,0,0,0,0.997532964
KIT_65K_MG4_G9,0,0,0,0
KIT_65N_MG4_H9,0,0,0,0
KIT_82C_MG4_A10,0,0,0,0
KIT_82K_MG4_B10,0,0,0,0
KIT_82N_MG4_C10,0,0,0,0
KIT_82F_MG4_D10,0,0,0,0
KIT_35C_MG4_E10,0,0,0,0.991133332
KIT_35K_MG4_F10,0,0,0,0
KIT_35N_MG4_G10,0,0,0,0.996906102
KIT_35F_MG4_H10,0,0,0,0
KIT_98C_MG4_A11,0.16619274,0,0,0.72755909
KIT_98K_MG4_B11,0.165986583,0,0,0.730697095
KIT_98N_MG4_C11,0.227629825,0,0,0.769161999
KIT_98F_MG4_D11,0,0,0,0.880598366
KIT_77C_MG4_E11,0,0,0,0.953616679
KIT_77K_MG4_F11,0,0,0,0
KIT_77N_MG4_G11,0,0,0.43037805,0.713849902
KIT_77F_MG4_H11,0,0,0,0
KIT_MOCK7_MG4_A12,0,0,0,0
KIT_MOCK4_MG4_B12,0,0,0,0
KIT_MOCK1_MG4_C12,0,0.320024401,0,0.663937449
KIT_ISO_MG4_D12,0,0,0,0
KIT_ISO_MG4_E12,0,0,0,0
KIT_ISO_MG4_F12,0,0,0,0
KIT_21C_MG4_G12,0,0,0,0
KIT_21K_MG4_H12,0,0,0,0
KIT_74C_MG5_A1,0,0,0,0.996753693
KIT_74K_MG5_B1,0,0,0,0.979160786
KIT_74N_MG5_C1,0,0,0,0.82225132
KIT_74F_MG5_D1,0,0,0,0.986053765
KIT_71C_MG5_E1,0,0,0,0
KIT_71K_MG5_F1,0,0,0,0
KIT_71N_MG5_G1,0,0,0,0
KIT_71F_MG5_H1,0,0,0,0
KIT_66C_MG5_A2,0,0.04695512,0,0.97243005
KIT_66K_MG5_B2,0,0,0,0
KIT_66N_MG5_C2,0,0,0,0.952668369
KIT_66F_MG5_D2,0,0,0,0
KIT_80C_MG5_E2,0,0,0,0
KIT_80K_MG5_F2,0,0,0,0
KIT_80N_MG5_G2,0,0,0,0.999296904
KIT_80F_MG5_H2,0,0,0,0
KIT_64C_MG5_A3,0,0.507387161,0,0.655425668
KIT_64K_MG5_B3,0,0,0,0
KIT_64N_MG5_C3,0,0,0,0.999956965
KIT_64F_MG5_D3,0,0,0,0
KIT_85C_MG5_E3,0,0.133987963,0,0
KIT_85K_MG5_F3,0,0,0,0
KIT_85N_MG5_G3,0,0,0,0.940027833
KIT_85F_MG5_H3,0,0,0,0
KIT_94C_MG5_A4,0,0,0,0
KIT_94K_MG5_B4,0,0,0,1.002026677
KIT_94N_MG5_C4,0,0,0,0.95950532
KIT_94F_MG5_D4,0,0,0,1.174087048
KIT_68C_MG5_E4,0,0,0,0.998265386
KIT_68K_MG5_F4,0,0,0,0.992098212
KIT_68N_MG5_G4,0,0,0.027207697,0.981010735
KIT_68F_MG5_H4,0,0,0,0
KIT_24C_MG5_A5,0,0.633287907,0,0
KIT_24K_MG5_B5,0,0.03478542,0,0
KIT_24N_MG5_C5,0,0,0,0.935087204
KIT_24F_MG5_D5,0,0,0,0.881406367
KIT_30C_MG5_E5,0,0.979780436,0,0
KIT_30K_MG5_F5,0,0,0,0
KIT_30N_MG5_G5,0,0.822548628,0,0.16495949
KIT_30F_MG5_H5,0,0,0,0
KIT_100C_MG5_A6,0,0.764705896,0,0
KIT_100K_MG5_B6,0,0.925870121,0,0
KIT_100N_MG5_C6,0,0.811299741,0,0
KIT_100F_MG5_D6,0,0.895177901,0,0
KIT_8C_MG5_E6,0,0,0,0
KIT_8K_MG5_F6,0,0,0,0.921955466
KIT_8N_MG5_G6,0,0.791650176,0,0
KIT_8F_MG5_H6,0,0,0,0
KIT_222K_MG5_A7,0,0,0,0
KIT_222N_MG5_B7,0,0,0,1.027856112
KIT_222F_MG5_C7,0,0,0,0
KIT_318A_MG5_D7,0,0.366666675,0,0
KIT_318C_MG5_E7,0,0,0,0.992638052
KIT_318K_MG5_F7,0,0,0,0
KIT_318N_MG5_G7,0,0,0,0
KIT_318F_MG5_H7,0,0,0,0
KIT_256F_MG5_A8,0,0,0,0
KIT_320A_MG5_B8,0,0,0,1.026704907
KIT_320C_MG5_C8,0,0,0,0.982953012
KIT_320K_MG5_D8,0,0,0,0.911381483
KIT_320N_MG5_E8,0,0,0,0.981154919
KIT_320F_MG5_F8,0,0,0,0.885509849
KIT_222A_MG5_G8,0,0,0,0.999942243
KIT_222C_MG5_H8,0,0,0,0.980292141
KIT_306A_MG5_A9,0,0.59154588,0,0
KIT_306C_MG5_B9,0,0,0,0.99125284
KIT_306K_MG5_C9,0,0,0,0
KIT_306N_MG5_D9,0,0,0,0
KIT_306F_MG5_E9,0,0,0,0
KIT_256C_MG5_F9,0,0,0.02240541,0.979466736
KIT_256K_MG5_G9,0,0,0.321539938,0.700159013
KIT_256N_MG5_H9,0,0,0.521273494,0.541739345
KIT_319K_MG5_A10,0,0,0,0
KIT_319N_MG5_B10,0,0,0.361644357,0.726644814
KIT_319F_MG5_C10,0,0,0,0
KIT_314A_MG5_D10,0,0,0,0
KIT_314C_MG5_E10,0,0,0,0
KIT_314K_MG5_F10,0,0,0,0.928441286
KIT_314N_MG5_G10,0,0,0.265880048,0.804720759
KIT_314F_MG5_H10,0,0,0,1.060100079
KIT_261F_MG5_A11,0,0,0,0
KIT_317A_MG5_B11,0,0,0,0
KIT_317C_MG5_C11,0,0,0,1.014508843
KIT_317K_MG5_D11,0,0.008654627,0,0
KIT_317N_MG5_E11,0,0,0,0.804975629
KIT_317F_MG5_F11,0,0,0,0
KIT_319A_MG5_G11,0,0,0,0
KIT_319C_MG5_H11,0,0,0,0
KIT_225C_MG5_A12,0,0,0,0
KIT_225K_MG5_B12,0,0,0,0
KIT_225N_MG5_C12,0,0,0,0
KIT_225F_MG5_D12,0,0,0,0
KIT_261A_MG5_E12,0,0,0,0
KIT_261C_MG5_F12,0,0,0,0.961707234
KIT_261K_MG5_G12,0,0,0,0
KIT_261N_MG5_H12,0,0,0,0.977694869
KIT_311K_MG6_B1,0,0,0,0.801341236
KIT_311N_MG6_C1,0,0.378384531,0,0.628208816
KIT_311F_MG6_D1,0,0.189552188,0,0.840521812
KIT_210C_MG6_E1,0,0,0,0.989230096
KIT_210K_MG6_F1,0,0,0,0
KIT_210N_MG6_G1,0,0,0,0.956659973
