,A,B,C,D,E,F,H,K,L
ConcatenatedReads_6PA,0.0,0.0,0.0,0.45742443203926086,0.39593377709388733,0.0,0.0,0.0,0.0002684755891095847
ConcatenatedReads_7AA,0.306632936000824,0.6819038987159729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_7AB,0.4215492904186249,0.0,0.0,0.0,0.0,0.0,0.0,0.17909850180149078,0.0
ConcatenatedReads_7PA,0.1341295689344406,0.017608897760510445,0.014369146898388863,0.395659476518631,0.0,0.0,0.13945019245147705,0.21598024666309357,0.0
ConcatenatedReads_7PB,0.8021841645240784,0.036224015057086945,0.0,0.06559526175260544,0.0,0.0,0.03892695531249046,0.03204439580440521,0.00624630693346262
ConcatenatedReads_8AA,0.32308223843574524,0.0,0.0,0.0,0.0,0.2812008559703827,0.0,0.23069122433662415,0.0
ConcatenatedReads_8AB,0.3765838146209717,0.020667223259806633,0.061221007257699966,0.0,0.1756715327501297,0.23195478320121765,0.0064995079301297665,0.09228543937206268,0.0
ConcatenatedReads_8AC,0.4155491292476654,0.0,0.0,0.0,0.0,0.11872746795415878,0.04374938830733299,0.3437995910644531,0.0
ConcatenatedReads_8PA,0.12795805931091309,0.0,0.029857652261853218,0.0,0.006623259745538235,0.22148288786411285,0.005341002251952887,0.5617281198501587,0.0
ConcatenatedReads_8PB,0.352408766746521,0.007826972752809525,0.021911095827817917,0.010121847502887249,0.09269551187753677,0.32861214876174927,0.015342013910412788,0.11210764199495316,0.0030912254005670547
ConcatenatedReads_9AA,0.44726699590682983,0.0,0.3111487925052643,0.0,0.17191149294376373,0.0,0.012531529180705547,0.0317787304520607,0.0
ConcatenatedReads_9PA,0.08056770265102386,0.006070718169212341,0.018516380339860916,0.1718248873949051,0.14093950390815735,0.0,0.029626406729221344,0.42787718772888184,0.0
ConcatenatedReads_OCA,0.01437633391469717,0.0,0.06095350906252861,0.08294637501239777,0.0,0.623055636882782,0.07488714158535004,0.05072777718305588,0.0
ConcatenatedReads_OCB,0.623184859752655,0.0,0.0,0.016340937465429306,0.0,0.0,0.18994563817977905,0.1175338551402092,0.0
ConcatenatedReads_10AA_TP_5_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_10PA_TP_5_all,0.1145513504743576,0.0,0.0,0.0,0.0,0.0,0.03146342188119888,0.8223820328712463,0.0
ConcatenatedReads_10PB_TP_5_all,0.6604442596435547,0.0,0.0,0.0,0.0,0.0,0.0,0.29753121733665466,0.0
ConcatenatedReads_11AA_TP_1_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_11AA_TP_3_all,0.0,0.0,0.8038225173950195,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_11AA_TP_4_all,0.0,0.0,0.6414968371391296,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_11PA_TP_1_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_11PA_TP_3_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
