,C.1.1,C.1.2.1,C.1.2.2,C.2.1.1,C.2.1.2,C.2.2.1.1,C.2.2.1.2.1.1,C.2.2.1.2.1.2,C.2.2.1.2.1.3,C.2.2.1.2.2.2,C.2.2.1.3.1,C.2.2.1.3.2.1,C.2.2.1.3.2.2.1.1.1,C.2.2.1.3.2.2.2,C.2.2.1.3.2.3,C.2.2.1.3.2.4.1
ConcatenatedReads_2PB,0.0,0.0,0.0,0.14728504419326782,0.0,0.0,0.17019473016262054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_3AA,0.0,0.0,0.8092973232269287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_3AB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_3PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_4AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_4AB,0.0,0.0,0.7948628664016724,0.0,0.0,0.0,0.18372687697410583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_4AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_4PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9535183906555176,0.0
ConcatenatedReads_5AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_5AB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_5PA,0.0,0.0,0.0,0.0,0.3472735285758972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_5PB,0.0,0.0,0.0,0.0,0.0,0.0,0.6020050644874573,0.0,0.0,0.0,0.0,0.0,0.0,0.06909091025590897,0.0,0.0
ConcatenatedReads_6AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_6PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_7AA,0.0,0.0,0.0,0.0,0.0,0.0,0.3865393102169037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4558313190937042,0.0
ConcatenatedReads_7AB,0.0,0.0,0.17235539853572845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_7PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
