,C.1.1,C.1.2.1,C.1.2.2,C.2.1.1,C.2.1.2,C.2.2.1.1,C.2.2.1.2.1.1,C.2.2.1.2.1.2,C.2.2.1.2.1.3,C.2.2.1.2.2.2,C.2.2.1.3.1,C.2.2.1.3.2.1,C.2.2.1.3.2.2.1.1.1,C.2.2.1.3.2.2.2,C.2.2.1.3.2.3,C.2.2.1.3.2.4.1
ConcatenatedReads_10AA,0.0,0.0,0.0,0.0,0.0,0.0,0.7903226017951965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_10PA,0.0,0.0,0.0,0.2850543260574341,0.004268386866897345,0.0,0.0,0.0,0.6355844736099243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_10PB,0.0,0.0,0.0,0.1872718185186386,0.0,0.0,0.0,0.0,0.27582454681396484,0.0,0.0,0.0,0.29148516058921814,0.0,0.0,0.0
ConcatenatedReads_11AA,0.0,0.027097728103399277,0.03486989811062813,0.0,0.0,0.0,0.0,0.0,0.0,0.028091605752706528,0.0,0.0,0.0,0.0,0.0,0.09312976896762848
ConcatenatedReads_11PA,0.0,0.0,0.009173567406833172,0.0,0.006430874578654766,0.0,0.9418542981147766,0.0,0.03839295357465744,0.0,0.0,0.0,0.0,0.0,0.0,0.015400062315165997
ConcatenatedReads_12AA,0.0,0.0,0.5952838659286499,0.008979477919638157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_12PA,0.0,0.0,0.3806750476360321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6928055286407471,0.0,0.0
ConcatenatedReads_13AA,0.0,0.2699311673641205,0.2861451804637909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_13PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_13PB,0.0,0.0,0.0,0.4381166994571686,0.10269170999526978,0.0,0.0,0.17404162883758545,0.23792730271816254,0.0,0.0,0.0,0.0,0.0,0.0,0.28718554973602295
ConcatenatedReads_14AA,0.0,0.0,0.7478269934654236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_14PA,0.04661870002746582,0.018355950713157654,0.0,0.0,0.0,0.02646806836128235,0.10873188078403473,0.0,0.3992561995983124,0.0,0.0,0.0,0.014476143755018711,0.0,0.0,0.0
ConcatenatedReads_15AA,0.0,0.0,0.0,0.0,0.0,0.0,0.9222493171691895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_15AB,0.0,0.0,0.2868535816669464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9588102102279663,0.0
ConcatenatedReads_15PA,0.0,0.0,0.0,0.07900454849004745,0.00858469307422638,0.0,0.2938978672027588,0.0,0.4652489423751831,0.0,0.0,0.0,0.008541261777281761,0.0,0.010144744999706745,0.0
ConcatenatedReads_16PB,0.15427519381046295,0.0,0.0,0.0,0.0,0.05352005362510681,0.3572143316268921,0.0,0.07108362019062042,0.0,0.0,0.0,0.024697598069906235,0.0,0.0,0.0
ConcatenatedReads_17AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_17AB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_17PA,0.0,0.0,0.0,0.0003123853821307421,0.0,0.0,0.9323864579200745,0.0,0.066042460501194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_19AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6025351285934448,0.15130411088466644
ConcatenatedReads_19PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_1AA,0.00260760891251266,0.17481140792369843,0.014914975501596928,0.0,0.16587544977664948,0.03467778488993645,0.19111250340938568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_1PA,0.0005760447820648551,0.023698583245277405,0.0,0.0,0.010357352904975414,0.0,0.5967477560043335,0.03776642680168152,0.25887393951416016,0.0,0.0,0.0,0.04633863642811775,0.0,0.0,0.0
ConcatenatedReads_1PB,0.05227731540799141,0.0,0.0,0.031104298308491707,0.1709936559200287,0.1149216890335083,0.03446090966463089,0.0,0.0,0.03638496994972229,0.19069840013980865,0.0,0.0,0.0,0.08777926117181778,0.14644131064414978
ConcatenatedReads_21AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4041314125061035,0.1709357351064682
ConcatenatedReads_21PA,0.0,0.0,0.11085117608308792,0.0,0.0,0.0,0.6590564250946045,0.0,0.19247634708881378,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_22AA,0.19498828053474426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5974195599555969,0.0
ConcatenatedReads_22PA,0.0,0.0,0.0,0.0,0.0,0.0,0.6910966038703918,0.0,0.28875720500946045,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_23AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_23PA,0.0,0.47955766320228577,0.0,0.3824703097343445,0.0,0.0,0.0,0.32605108618736267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_24AA,0.0,0.0,0.35828328132629395,0.0,0.23346947133541107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15445655584335327,0.0
ConcatenatedReads_25AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18917936086654663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_25PA,0.0,0.0,0.0,0.0,0.21005721390247345,0.0,0.689978837966919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_2AA,0.0,0.0,0.0,0.009706094861030579,0.0,0.0,0.38692763447761536,0.0,0.3365330994129181,0.0,0.0,0.05540155619382858,0.0,0.0,0.0,0.0
ConcatenatedReads_2AB,0.0,0.027637077495455742,0.05443419888615608,0.0052695912308990955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_2PA,0.06803374737501144,0.0,0.0,0.0,0.000211006699828431,0.04173707589507103,0.1825365275144577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_2PB,0.0,0.0,0.0,0.14728504419326782,0.0,0.0,0.17019473016262054,0.30516213178634644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14600147306919098
ConcatenatedReads_3AA,0.0,0.0,0.8092973232269287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13561616837978363
ConcatenatedReads_3AB,0.0,0.0,1.1137348413467407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_3PA,0.0,0.0,0.0,0.008654038421809673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_4AA,0.0,0.0,0.3355405926704407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4456541836261749,0.0
ConcatenatedReads_4AB,0.0,0.0,0.7948628664016724,0.0,0.0,0.0,0.18372687697410583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_4AC,0.0,0.0,0.21971166133880615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5946101546287537,0.0
ConcatenatedReads_4PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9535183906555176,0.0
ConcatenatedReads_5AA,0.0,0.0,0.4220597445964813,0.001034956076182425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011954155750572681
ConcatenatedReads_5AB,0.0,0.2512061595916748,0.4121415615081787,0.0,0.0,0.0,0.0,0.0,0.0,0.4910799264907837,0.0,0.0,0.0,0.0,0.0,0.42396995425224304
ConcatenatedReads_5PA,0.0,0.0,0.0,0.0,0.3472735285758972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_5PB,0.0,0.0,0.0,0.0,0.0,0.0,0.6020050644874573,0.0,0.0,0.0,0.0,0.0,0.0,0.06909091025590897,0.0,0.011064213700592518
ConcatenatedReads_6AA,0.40144169330596924,0.0,0.0,0.0,0.0,0.0,0.3104015290737152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_6PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_7AA,0.0013069089036434889,0.0,0.016427546739578247,0.0,0.0,0.0,0.3865393102169037,0.0,0.0,0.037544719874858856,0.0,0.0,0.0,0.0,0.4558313190937042,0.08430192619562149
ConcatenatedReads_7AB,0.0,0.3325100839138031,0.17235539853572845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373630166053772,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_7PA,0.0,0.0,0.0,0.0,0.0,0.0,0.6714286208152771,0.2576373517513275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_7PB,0.04581258445978165,0.0617612861096859,0.24599751830101013,0.044960975646972656,0.0803757831454277,0.028632862493395805,0.11630794405937195,0.017338775098323822,0.0,0.1705797016620636,0.0,0.0,0.02531384862959385,0.0,0.0,0.07147157192230225
ConcatenatedReads_8AA,0.0,0.0,0.06707184761762619,0.0,0.0,0.0,0.8986945152282715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2454099804162979,0.0
ConcatenatedReads_8AB,0.04684707149863243,0.4249785244464874,0.03490615636110306,0.0,0.04126570746302605,0.03413383662700653,0.04301008954644203,0.0,0.0,0.0,0.0,0.0,0.05499458685517311,0.06784141063690186,0.0,0.0
ConcatenatedReads_8AC,0.0,0.0,0.26876744627952576,0.0,0.0,0.0,0.32131320238113403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016430223360657692
ConcatenatedReads_8PA,0.0,0.0,0.0,0.0,0.07395730167627335,0.0,0.621921181678772,0.0,0.143111914396286,0.0,0.0,0.0,0.0,0.0,0.0,0.011656600050628185
