H	1
H	2
K	3
K	4
K	5
H	6
C	7
D	8
K	9
H	10
A	11
D	12
H	13
H	14
H	15
D	16
A	17
H	18
A	19
H	20
A	21
F	22
C	23
B	24
H	25
H	26
H	27
H	28
E	29
H	30
K	31
H	32
K	33
F	34
K	35
H	36
H	37
K	38
A	39
C	40
A	41
E	42
A	43
A	44
A	45
D	46
C	47
D	48
D	49
A	50
C	51
D	52
A	53
D	54
D	55
A	56
K	57
F	58
B	59
K	60
D	61
K	62
K	63
H	64
A	65
F	66
K	67
C	68
H	69
K	70
F	71
F	72
A	73
E	74
A	75
B	76
A	77
A	78
K	79
C	80
K	81
K	82
A	83
A	84
D	85
A	86
H	87
A	88
H	89
A	90
D	91
K	92
H	94
F	96
D	100
D	103
A	104
H	105
K	107
H	108
D	109
K	112
A	114
K	115
H	116
K	118
D	122
H	124
K	125
K	128
K	132
